acquisition,configuration,fppi_budget,n_seeds,recall_mean,recall_sd
mterie,historical_additive,0.025118864315095794,5,0.11050847457627118,0.04183576717335207
mterie,historical_additive,0.025703957827688646,5,0.112090395480226,0.041485241329569475
mterie,historical_additive,0.026302679918953815,5,0.112090395480226,0.041485241329569475
mterie,historical_additive,0.026915348039269153,5,0.11389830508474574,0.04100932210297622
mterie,historical_additive,0.02754228703338166,5,0.11389830508474574,0.04100932210297622
mterie,historical_additive,0.028183829312644536,5,0.11389830508474574,0.04100932210297622
mterie,historical_additive,0.028840315031266057,5,0.11627118644067795,0.04003413909107941
mterie,historical_additive,0.029512092266663854,5,0.11627118644067795,0.04003413909107941
mterie,historical_additive,0.03019951720402016,5,0.11807909604519773,0.03902192444811583
mterie,historical_additive,0.030902954325135904,5,0.11807909604519773,0.03902192444811583
mterie,historical_additive,0.03162277660168379,5,0.11943502824858757,0.03999465315855285
mterie,historical_additive,0.03235936569296283,5,0.11943502824858757,0.03999465315855285
mterie,historical_additive,0.03311311214825911,5,0.12067796610169493,0.04003852401315233
mterie,historical_additive,0.033884415613920256,5,0.12067796610169493,0.04003852401315233
mterie,historical_additive,0.034673685045253165,5,0.12135593220338983,0.0398823639686506
mterie,historical_additive,0.03548133892335755,5,0.12305084745762714,0.038990010023226294
mterie,historical_additive,0.03630780547701014,5,0.12305084745762714,0.038990010023226294
mterie,historical_additive,0.03715352290971726,5,0.12463276836158192,0.03966206317933722
mterie,historical_additive,0.038018939632056124,5,0.12463276836158192,0.03966206317933722
mterie,historical_additive,0.03890451449942805,5,0.1263276836158192,0.04048447389604877
mterie,historical_additive,0.039810717055349734,5,0.12745762711864408,0.04126730957015016
mterie,historical_additive,0.04073802778041126,5,0.12745762711864408,0.04126730957015016
mterie,historical_additive,0.04168693834703355,5,0.12836158192090397,0.042075036063065445
mterie,historical_additive,0.04265795188015926,5,0.12903954802259887,0.04227219676301122
mterie,historical_additive,0.04365158322401661,5,0.12903954802259887,0.04227219676301122
mterie,historical_additive,0.0446683592150963,5,0.1303954802259887,0.042608385096284306
mterie,historical_additive,0.04570881896148752,5,0.1309604519774011,0.0430110140910653
mterie,historical_additive,0.046773514128719815,5,0.13152542372881357,0.04275421629066693
mterie,historical_additive,0.04786300923226385,5,0.13152542372881357,0.04275421629066693
mterie,historical_additive,0.04897788193684462,5,0.1327683615819209,0.04355232344284586
mterie,historical_additive,0.05011872336272725,5,0.13502824858757062,0.04398260634270957
mterie,historical_additive,0.05128613839913648,5,0.13661016949152543,0.04518961791427343
mterie,historical_additive,0.05248074602497726,5,0.1383050847457627,0.04588182865271494
mterie,historical_additive,0.05370317963702527,5,0.13898305084745763,0.04570862396141848
mterie,historical_additive,0.054954087385762455,5,0.13898305084745763,0.04570862396141848
mterie,historical_additive,0.05623413251903491,5,0.13966101694915253,0.04448125610118391
mterie,historical_additive,0.057543993733715694,5,0.14124293785310735,0.04497295799420478
mterie,historical_additive,0.0588843655355589,5,0.14192090395480225,0.044941718387767955
