acquisition,configuration,seed,fppi_budget,recall,within_collected_support,attained_fppi,threshold,reject_all,tp,fp,checkpoint_sha256
fhl_0407_0408,historical_fam,42,1.0,0.5544015825914935,True,1.0,0.1596975326538086,False,1121,1035,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
fhl_0407_0408,historical_fam,43,0.1,0.2665677546983185,True,0.09951690821256039,0.4931311011314392,False,539,103,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
fhl_0407_0408,historical_fam,43,0.5,0.5929772502472799,True,0.4995169082125604,0.25061607360839844,False,1199,517,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
fhl_0407_0408,historical_fam,43,1.0,0.6780415430267063,True,1.0,0.1749541163444519,False,1371,1035,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
fhl_0407_0408,historical_fam,44,0.1,0.22255192878338279,True,0.09951690821256039,0.2388163059949875,False,450,103,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
fhl_0407_0408,historical_fam,44,0.5,0.5004945598417408,True,0.4995169082125604,0.1321927309036255,False,1012,517,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
fhl_0407_0408,historical_fam,44,1.0,0.5870425321463897,True,1.0,0.0955629050731659,False,1187,1035,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
mterie,historical_additive,40,0.1,0.16836158192090395,True,0.09887005649717515,0.20323967933654785,False,298,70,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
mterie,historical_additive,40,0.5,0.29548022598870055,True,0.5,0.11187417060136795,False,523,354,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
mterie,historical_additive,40,1.0,0.3615819209039548,True,1.0,0.08307144045829773,False,640,708,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105
mterie,historical_additive,41,0.1,0.22768361581920904,True,0.09887005649717515,0.4808374345302582,False,403,70,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
mterie,historical_additive,41,0.5,0.4480225988700565,True,0.5,0.2685616612434387,False,793,354,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
mterie,historical_additive,41,1.0,0.5322033898305085,True,1.0,0.19783657789230347,False,942,708,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf
mterie,historical_additive,42,0.1,0.14632768361581922,True,0.09887005649717515,0.29839298129081726,False,259,70,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
