acquisition,configuration,seed,condition,checkpoint_sha256,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
fhl_0407_0408,historical_additive,44,vis_ir,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20,1035,0.05297234654426575,0.15828725695610046,0.018151694908738136,0.05297234654426575,-1.0,-1.0,0.059841740876436234,0.21463897824287415,0.26424333453178406
fhl_0407_0408,historical_fam,40,vis_ir,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a,1035,0.19121405482292175,0.49615317583084106,0.10207483172416687,0.19121405482292175,-1.0,-1.0,0.13907022774219513,0.3529179096221924,0.41676557064056396
fhl_0407_0408,historical_fam,41,vis_ir,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640,1035,0.1549980491399765,0.4150056540966034,0.07702504098415375,0.1549980491399765,-1.0,-1.0,0.12670622766017914,0.345598429441452,0.39727991819381714
fhl_0407_0408,historical_fam,42,vis_ir,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497,1035,0.16503553092479706,0.44089651107788086,0.07297537475824356,0.16503553092479706,-1.0,-1.0,0.12517309188842773,0.35509395599365234,0.4230959415435791
fhl_0407_0408,historical_fam,43,vis_ir,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536,1035,0.19673676788806915,0.4873034656047821,0.10802637040615082,0.19673676788806915,-1.0,-1.0,0.1411968320608139,0.3848170042037964,0.45049455761909485
fhl_0407_0408,historical_fam,44,vis_ir,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e,1035,0.1702612191438675,0.4140278398990631,0.09295658767223358,0.1702612191438675,-1.0,-1.0,0.13516320288181305,0.3585558831691742,0.41271018981933594
fhl_0407_0408,stage_b_fam,40,vis,66217fac6c64144c444230bcdec4368b7b87e3fde2ebe983330b986452901c8d,1035,0.218038409948349,0.5333200693130493,0.12997326254844666,0.218038409948349,-1.0,-1.0,0.16251236200332642,0.3772996962070465,0.405885249376297
fhl_0407_0408,stage_b_fam,40,vis_ir,66217fac6c64144c444230bcdec4368b7b87e3fde2ebe983330b986452901c8d,1035,0.21368911862373352,0.5351213216781616,0.122423455119133,0.21368911862373352,-1.0,-1.0,0.15415430068969727,0.37893176078796387,0.41449061036109924
fhl_0407_0408,stage_b_fam,41,vis,4689cc606e8f91627c0867355739f90d2bc4a4932cecc78533f7b4dee6a09a81,1035,0.1836998164653778,0.49322813749313354,0.09509415179491043,0.1836998164653778,-1.0,-1.0,0.13224530220031738,0.35558852553367615,0.4099406599998474
fhl_0407_0408,stage_b_fam,41,vis_ir,4689cc606e8f91627c0867355739f90d2bc4a4932cecc78533f7b4dee6a09a81,1035,0.1704154908657074,0.4543400704860687,0.07889197766780853,0.1704154908657074,-1.0,-1.0,0.13328388333320618,0.34480711817741394,0.4220573604106903
fhl_0407_0408,stage_b_fam,42,vis,c305e9d97b98e586351246127e43b49e9fc5a73f59508d6d314f4f0f1a6ad9a3,1035,0.08604642748832703,0.2674529254436493,0.02731451205909252,0.08604642748832703,-1.0,-1.0,0.08961424231529236,0.22828882932662964,0.2965875267982483
fhl_0407_0408,stage_b_fam,42,vis_ir,c305e9d97b98e586351246127e43b49e9fc5a73f59508d6d314f4f0f1a6ad9a3,1035,0.07055126875638962,0.22954361140727997,0.021095572039484978,0.07055126875638962,-1.0,-1.0,0.07987141609191895,0.20098911225795746,0.26988130807876587
fhl_0407_0408,stage_b_fam,43,vis,6b643ad11b2c693d07bd46b19f2a2acfdabb619a693dc67bc09027a66e436a65,1035,0.17415665090084076,0.42117172479629517,0.11146995425224304,0.17415665090084076,-1.0,-1.0,0.13971315324306488,0.32517310976982117,0.37200790643692017
fhl_0407_0408,stage_b_fam,43,vis_ir,6b643ad11b2c693d07bd46b19f2a2acfdabb619a693dc67bc09027a66e436a65,1035,0.16019661724567413,0.38838112354278564,0.1007460281252861,0.16019661724567413,-1.0,-1.0,0.12403561174869537,0.32492581009864807,0.3700791299343109
fhl_0407_0408,stage_b_fam,44,vis,0e89d6568c75de2c55149b178718ff8789cd8f2a1e43456974fa257750ce9b85,1035,0.11268243938684464,0.31676560640335083,0.061150964349508286,0.11268243938684464,-1.0,-1.0,0.10173095762729645,0.3318496644496918,0.37413451075553894
fhl_0407_0408,stage_b_fam,44,vis_ir,0e89d6568c75de2c55149b178718ff8789cd8f2a1e43456974fa257750ce9b85,1035,0.1052635982632637,0.2966063320636749,0.05871140584349632,0.1052635982632637,-1.0,-1.0,0.10178041458129883,0.30598416924476624,0.37720078229904175
