configuration,seed,confidence_threshold,n_images,n_gt,n_predictions,tp,fp,fn,precision,recall,fp_per_image,no_prediction_fraction,empty_frame_fp_fraction,nonempty_miss_frame_fraction,mean_matched_iou,small_recall,medium_recall,large_recall
fam,40,0.05,708,1770,4869,1255,3614,515,0.25775313205997125,0.7090395480225988,5.104519774011299,0.08050847457627118,0.42105263157894735,0.5312046444121916,0.6796115242698022,0.656788421778084,0.946843853820598,0.9444444444444444
fam,40,0.1,708,1770,2344,1081,1263,689,0.4611774744027304,0.6107344632768361,1.7838983050847457,0.1596045197740113,0.10526315789473684,0.6197387518142236,0.6841656021247202,0.538249483115093,0.9401993355481728,0.9444444444444444
fam,40,0.25,708,1770,909,677,232,1093,0.7447744774477447,0.3824858757062147,0.327683615819209,0.307909604519774,0.0,0.7648766328011611,0.7095957822406772,0.2694693314955203,0.8970099667774086,0.8888888888888888
fam,40,0.5,708,1770,313,289,24,1481,0.9233226837060703,0.16327683615819208,0.03389830508474576,0.6610169491525424,0.0,0.8606676342525399,0.758130275563921,0.03859407305306685,0.7275747508305648,0.7777777777777778
fam,41,0.01,708,1770,51540,1471,50069,299,0.02854093907644548,0.8310734463276837,70.71892655367232,0.0,1.0,0.3613933236574746,0.687051457115176,0.7987594762232942,0.9767441860465116,1.0
fam,41,0.05,708,1770,6622,1338,5284,432,0.20205376019329507,0.7559322033898305,7.463276836158192,0.03954802259887006,0.5789473684210527,0.48911465892597966,0.6813954647698032,0.7139903514817367,0.946843853820598,0.9444444444444444
fam,41,0.1,708,1770,2970,1244,1726,526,0.41885521885521887,0.7028248587570621,2.437853107344633,0.10310734463276836,0.21052631578947367,0.5616835994194485,0.6812008116109168,0.653342522398346,0.9269102990033222,0.9444444444444444
fam,41,0.25,708,1770,1276,953,323,817,0.7468652037617555,0.5384180790960452,0.4562146892655367,0.19491525423728814,0.05263157894736842,0.7184325108853411,0.6906415570601664,0.456237077877326,0.9102990033222591,0.9444444444444444
fam,41,0.5,708,1770,540,473,67,1297,0.8759259259259259,0.2672316384180791,0.09463276836158192,0.4406779661016949,0.0,0.8345428156748912,0.7273275773369189,0.15299793246037216,0.7873754152823921,0.7777777777777778
fam,42,0.01,708,1770,25971,1340,24631,430,0.05159601093527396,0.7570621468926554,34.78954802259887,0.0,1.0,0.46008708272859217,0.6869575863297499,0.7084769124741558,0.9767441860465116,1.0
fam,42,0.05,708,1770,2898,913,1985,857,0.3150448585231194,0.515819209039548,2.803672316384181,0.1115819209039548,0.47368421052631576,0.6647314949201741,0.7022258462034998,0.41902136457615435,0.9534883720930233,1.0
fam,42,0.1,708,1770,1335,704,631,1066,0.5273408239700375,0.3977401129943503,0.8912429378531074,0.2401129943502825,0.10526315789473684,0.7111756168359942,0.7169465353789616,0.27842866988283943,0.9401993355481728,0.9444444444444444
fam,42,0.25,708,1770,473,359,114,1411,0.758985200845666,0.20282485875706216,0.16101694915254236,0.577683615819209,0.0,0.8098693759071117,0.7615660112629098,0.06616126809097174,0.8338870431893688,0.6666666666666666
fam,42,0.5,708,1770,212,206,6,1564,0.9716981132075472,0.11638418079096045,0.00847457627118644,0.7471751412429378,0.0,0.9158200290275762,0.7862040559564225,0.015851137146795313,0.5780730897009967,0.5
fam,43,0.01,708,1770,28502,1414,27088,356,0.04961055364535822,0.7988700564971751,38.259887005649716,0.0,1.0,0.4296081277213353,0.6899626252291465,0.7615437629221227,0.9667774086378738,1.0
fam,43,0.05,708,1770,4426,1230,3196,540,0.2779032986895617,0.6949152542372882,4.5141242937853105,0.1285310734463277,0.15789473684210525,0.5732946298984035,0.6847766672979348,0.6395589248793935,0.9435215946843853,1.0
fam,43,0.1,708,1770,2298,1096,1202,674,0.47693646649260224,0.6192090395480226,1.6977401129943503,0.1596045197740113,0.05263157894736842,0.6415094339622641,0.6872849382622366,0.549276361130255,0.9335548172757475,1.0
fam,43,0.25,708,1770,936,662,274,1108,0.7072649572649573,0.37401129943502825,0.3870056497175141,0.2895480225988701,0.0,0.7764876632801161,0.7098894403671278,0.25982081323225364,0.8870431893687708,1.0
fam,43,0.5,708,1770,334,302,32,1468,0.9041916167664671,0.17062146892655367,0.04519774011299435,0.6257062146892656,0.0,0.8679245283018868,0.7514787709640042,0.05031013094417643,0.717607973421927,0.7222222222222222
fam,44,0.01,708,1770,23707,1408,22299,362,0.059391740836039986,0.7954802259887006,31.49576271186441,0.0,1.0,0.420899854862119,0.6876625941297388,0.757408683666437,0.9667774086378738,1.0
fam,44,0.05,708,1770,2323,1051,1272,719,0.4524321997417133,0.5937853107344633,1.7966101694915255,0.0847457627118644,0.5789473684210527,0.6589259796806967,0.69221570088814,0.5168849069607168,0.9435215946843853,0.9444444444444444
fam,44,0.1,708,1770,1051,749,302,1021,0.7126546146527117,0.4231638418079096,0.4265536723163842,0.22033898305084745,0.21052631578947367,0.7431059506531205,0.704621140734431,0.31013094417643006,0.9368770764119602,0.9444444444444444
fam,44,0.25,708,1770,329,296,33,1474,0.8996960486322189,0.1672316384180791,0.046610169491525424,0.6468926553672316,0.05263157894736842,0.8592162554426706,0.7555062159582068,0.04548587181254307,0.7275747508305648,0.6111111111111112
fam,44,0.5,708,1770,170,170,0,1600,1.0,0.096045197740113,0.0,0.8022598870056498,0.0,0.9158200290275762,0.7942817830688207,0.002067539627842867,0.5282392026578073,0.4444444444444444
